id,cover,genres,name,rating,cover_big,has_cars
96,//images.igdb.com/igdb/image/upload/t_thumb/co209g.jpg,"['Racing', 'Simulator']",Need for Speed: Underground,1,//images.igdb.com/igdb/image/upload/t_cover_big/co209g.jpg,True
97,//images.igdb.com/igdb/image/upload/t_thumb/co209h.jpg,"['Racing', 'Simulator']",Need for Speed: Underground 2,1,//images.igdb.com/igdb/image/upload/t_cover_big/co209h.jpg,True
98,//images.igdb.com/igdb/image/upload/t_thumb/co209j.jpg,"['Racing', 'Simulator']",Need for Speed: Most Wanted,1,//images.igdb.com/igdb/image/upload/t_cover_big/co209j.jpg,True
100,//images.igdb.com/igdb/image/upload/t_thumb/co209l.jpg,"['Racing', 'Simulator', 'Sport']",Need for Speed: ProStreet,1,//images.igdb.com/igdb/image/upload/t_cover_big/co209l.jpg,False
102,//images.igdb.com/igdb/image/upload/t_thumb/co209o.jpg,"['Racing', 'Simulator']",Need for Speed: Shift,1,//images.igdb.com/igdb/image/upload/t_cover_big/co209o.jpg,True
190,//images.igdb.com/igdb/image/upload/t_thumb/co2hgu.jpg,"['Platform', 'Adventure']",LEGO Star Wars II: The Original Trilogy,1,//images.igdb.com/igdb/image/upload/t_cover_big/co2hgu.jpg,False
235,//images.igdb.com/igdb/image/upload/t_thumb/co1v8i.jpg,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']",RollerCoaster Tycoon 3,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1v8i.jpg,False
283,//images.igdb.com/igdb/image/upload/t_thumb/co1y8e.jpg,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']",Theme Park,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1y8e.jpg,False
330,//images.igdb.com/igdb/image/upload/t_thumb/co1o4d.jpg,"['Simulator', 'Strategy']",SimCity 2000,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1o4d.jpg,False
331,//images.igdb.com/igdb/image/upload/t_thumb/co2dws.jpg,"['Simulator', 'Strategy']",RollerCoaster Tycoon 2,1,//images.igdb.com/igdb/image/upload/t_cover_big/co2dws.jpg,False
341,//images.igdb.com/igdb/image/upload/t_thumb/co20eb.jpg,"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure']",Harry Potter and the Sorcerer's Stone,1,//images.igdb.com/igdb/image/upload/t_cover_big/co20eb.jpg,False
358,//images.igdb.com/igdb/image/upload/t_thumb/co2362.jpg,"['Platform', 'Adventure']",Super Mario Bros.,1,//images.igdb.com/igdb/image/upload/t_cover_big/co2362.jpg,False
385,//images.igdb.com/igdb/image/upload/t_thumb/co1oa5.jpg,"['Role-playing (RPG)', 'Adventure']",Final Fantasy,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1oa5.jpg,False
408,//images.igdb.com/igdb/image/upload/t_thumb/co1vpy.jpg,['Role-playing (RPG)'],Final Fantasy I & II: Dawn of Souls,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1vpy.jpg,False
414,//images.igdb.com/igdb/image/upload/t_thumb/co1wyp.jpg,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",Final Fantasy Tactics Advance,1,//images.igdb.com/igdb/image/upload/t_cover_big/co1wyp.jpg,False
503,//images.igdb.com/igdb/image/upload/t_thumb/co2071.jpg,"['Simulator', 'Sport']",FIFA 11,1,//images.igdb.com/igdb/image/upload/t_cover_big/co2071.jpg,False
508,//images.igdb.com/igdb/image/upload/t_thumb/co2e2k.jpg,"['Racing', 'Sport']",TrackMania 2: Canyon,1,//images.igdb.com/igdb/image/upload/t_cover_big/co2e2k.jpg,False
