,path,face,id,cover,name,rating
0,1.jpg,False,1,//images.igdb.com/igdb/image/upload/t_thumb/co1y6v.jpg,Thief II: The Metal Age,4.0
1,100.jpg,False,100,//images.igdb.com/igdb/image/upload/t_thumb/co209l.jpg,Need for Speed: ProStreet,1.0
2,1000.jpg,False,1000,//images.igdb.com/igdb/image/upload/t_thumb/co29rx.jpg,Oddworld: Abe's Exoddus,3.0
3,1001.jpg,False,1001,//images.igdb.com/igdb/image/upload/t_thumb/co24fi.jpg,Oddworld: Munch's Oddysee,3.0
4,10017.jpg,True,10017,//images.igdb.com/igdb/image/upload/t_thumb/co2138.jpg,Babel Rising,2.0
5,10023.jpg,True,10023,//images.igdb.com/igdb/image/upload/t_thumb/co28f9.jpg,Barrow Hill: Curse of the Ancient Circle,2.0
6,10031.jpg,False,10031,//images.igdb.com/igdb/image/upload/t_thumb/co1z4v.jpg,Yooka-Laylee,2.0
7,1005.jpg,True,1005,//images.igdb.com/igdb/image/upload/t_thumb/tip2v9tntxurniyvcvvn.jpg,The Matrix Online,3.0
8,10067.jpg,False,10067,//images.igdb.com/igdb/image/upload/t_thumb/co28fc.jpg,Burnout Paradise: The Ultimate Box,2.0
9,10083.jpg,True,10083,//images.igdb.com/igdb/image/upload/t_thumb/co21ic.jpg,Chivalry: Deadliest Warrior,5.0
10,10084.jpg,True,10084,//images.igdb.com/igdb/image/upload/t_thumb/uourgj1knjomqnwevffd.jpg,Chronicle Keepers: The Dreaming Garden,2.0
11,1009.jpg,False,1009,//images.igdb.com/igdb/image/upload/t_thumb/co1r7f.jpg,The Last of Us,5.0
12,10093.jpg,False,10093,//images.igdb.com/igdb/image/upload/t_thumb/jjshpk5uxrnwubclzocm.jpg,High Strangeness,2.0
13,101.jpg,False,101,//images.igdb.com/igdb/image/upload/t_thumb/co209n.jpg,Need for Speed: Undercover,2.0
14,101.jpg,False,101,//images.igdb.com/igdb/image/upload/t_thumb/co209n.jpg,Need for Speed: Undercover,3.0
15,1010.jpg,False,1010,//images.igdb.com/igdb/image/upload/t_thumb/co1vqj.jpg,Cities in Motion,1.0
16,1011.jpg,True,1011,//images.igdb.com/igdb/image/upload/t_thumb/co20tn.jpg,Borderlands 2,5.0
17,1013.jpg,False,1013,//images.igdb.com/igdb/image/upload/t_thumb/co1ta1.jpg,SoulCalibur V,4.0
18,1014.jpg,False,1014,//images.igdb.com/igdb/image/upload/t_thumb/co1tc5.jpg,APB Reloaded,5.0
19,10142.jpg,False,10142,//images.igdb.com/igdb/image/upload/t_thumb/co1mhv.jpg,Home,2.0
20,10158.jpg,True,10158,//images.igdb.com/igdb/image/upload/t_thumb/co2er7.jpg,Way of the Samurai 4,5.0
21,1016.jpg,True,1016,//images.igdb.com/igdb/image/upload/t_thumb/co1ot9.jpg,BloodRayne 2,5.0
22,10166.jpg,False,10166,//images.igdb.com/igdb/image/upload/t_thumb/lwi6jto8u5xey8qygr2d.jpg,Dark Void Zero,2.0
23,1017.jpg,False,1017,//images.igdb.com/igdb/image/upload/t_thumb/co1xmk.jpg,Worms: Reloaded,2.0
24,102.jpg,False,102,//images.igdb.com/igdb/image/upload/t_thumb/co209o.jpg,Need for Speed: Shift,1.0
25,1020.jpg,True,1020,//images.igdb.com/igdb/image/upload/t_thumb/co2lbd.jpg,Grand Theft Auto V,5.0
26,10201.jpg,False,10201,//images.igdb.com/igdb/image/upload/t_thumb/udecflyb2uuaqmfdcfe7.jpg,Lock On: Modern Air Combat,2.0
27,1021.jpg,False,1021,//images.igdb.com/igdb/image/upload/t_thumb/co1ofw.jpg,Aliens: Colonial Marines,5.0
28,10233.jpg,False,10233,//images.igdb.com/igdb/image/upload/t_thumb/co233h.jpg,Brawlhalla,2.0
29,1025.jpg,False,1025,//images.igdb.com/igdb/image/upload/t_thumb/co1uje.jpg,Zelda II: The Adventure of Link,2.0
30,1026.jpg,False,1026,//images.igdb.com/igdb/image/upload/t_thumb/co1nqk.jpg,The Legend of Zelda: A Link to the Past,2.0
31,1027.jpg,False,1027,//images.igdb.com/igdb/image/upload/t_thumb/co2dwq.jpg,The Legend of Zelda: Link's Awakening DX,2.0
32,1029.jpg,False,1029,//images.igdb.com/igdb/image/upload/t_thumb/co1n6b.jpg,The Legend of Zelda: Ocarina of Time,3.0
33,1030.jpg,False,1030,//images.igdb.com/igdb/image/upload/t_thumb/co1n6a.jpg,The Legend of Zelda: Majora's Mask,3.0
34,10304.jpg,True,10304,//images.igdb.com/igdb/image/upload/t_thumb/co25ph.jpg,Fallout: New Vegas - Dead Money,5.0
35,10305.jpg,True,10305,//images.igdb.com/igdb/image/upload/t_thumb/co25pi.jpg,Fallout: New Vegas - Honest Hearts,5.0
36,10306.jpg,True,10306,//images.igdb.com/igdb/image/upload/t_thumb/co25pj.jpg,Fallout: New Vegas - Old World Blues,5.0
37,10307.jpg,True,10307,//images.igdb.com/igdb/image/upload/t_thumb/co25pk.jpg,Fallout: New Vegas - Lonesome Road,5.0
38,10317.jpg,True,10317,//images.igdb.com/igdb/image/upload/t_thumb/shps1juuwydhrgtu3hwa.jpg,Hamilton's Great Adventure,2.0
39,10321.jpg,False,10321,//images.igdb.com/igdb/image/upload/t_thumb/iakss7qofxvrcb2mekag.jpg,Fire,2.0
40,1033.jpg,False,1033,//images.igdb.com/igdb/image/upload/t_thumb/co1nqu.jpg,The Legend of Zelda: The Wind Waker,2.0
41,1034.jpg,False,1034,//images.igdb.com/igdb/image/upload/t_thumb/co25wk.jpg,The Legend of Zelda: Four Swords Adventures,1.0
42,10344.jpg,False,10344,//images.igdb.com/igdb/image/upload/t_thumb/etp4640wzikctno5is52.jpg,Galactic Civilizations,2.0
43,1035.jpg,False,1035,//images.igdb.com/igdb/image/upload/t_thumb/co1uja.jpg,The Legend of Zelda: The Minish Cap,2.0
44,1036.jpg,False,1036,//images.igdb.com/igdb/image/upload/t_thumb/co1uij.jpg,The Legend of Zelda: Twilight Princess,3.0
45,1037.jpg,False,1037,//images.igdb.com/igdb/image/upload/t_thumb/co1nr8.jpg,The Legend of Zelda: Phantom Hourglass,2.0
46,10373.jpg,False,10373,//images.igdb.com/igdb/image/upload/t_thumb/co1n1n.jpg,Azure Striker GUNVOLT,2.0
47,1038.jpg,False,1038,//images.igdb.com/igdb/image/upload/t_thumb/co1uj9.jpg,The Legend of Zelda: Spirit Tracks,2.0
48,1039.jpg,False,1039,//images.igdb.com/igdb/image/upload/t_thumb/co1nl5.jpg,The Legend of Zelda: Ocarina of Time 3D,3.0
49,10399.jpg,False,10399,//images.igdb.com/igdb/image/upload/t_thumb/nyjcv5xs5wx0awfghgxt.jpg,Hearts of Iron III: Semper Fi,2.0
50,1040.jpg,True,1040,//images.igdb.com/igdb/image/upload/t_thumb/co2n91.jpg,Alice: Madness Returns,5.0
51,1042.jpg,True,1042,//images.igdb.com/igdb/image/upload/t_thumb/co23af.jpg,Just Cause,4.0
52,10431.jpg,False,10431,//images.igdb.com/igdb/image/upload/t_thumb/im4vbjsoqyugxlzs1pyg.jpg,Vsevolod,2.0
53,10453.jpg,False,10453,//images.igdb.com/igdb/image/upload/t_thumb/bcuyklxi81n3luy4mpnu.jpg,Legend of Hero Tonma,2.0
54,1047.jpg,False,1047,//images.igdb.com/igdb/image/upload/t_thumb/co1xjk.jpg,Worms 3D,1.0
55,1048.jpg,True,1048,//images.igdb.com/igdb/image/upload/t_thumb/co2dm6.jpg,Hitman: Blood Money,5.0
56,1049.jpg,True,1049,//images.igdb.com/igdb/image/upload/t_thumb/co1ovw.jpg,Hitman: Contracts,4.0
57,105.jpg,True,105,//images.igdb.com/igdb/image/upload/t_thumb/co2h9s.jpg,Need for Speed: Hot Pursuit,2.0
58,10500.jpg,False,10500,//images.igdb.com/igdb/image/upload/t_thumb/co1zh7.jpg,Blazing Star,2.0
59,10501.jpg,False,10501,//images.igdb.com/igdb/image/upload/t_thumb/co24rl.jpg,Expeditions: Viking,5.0
60,1051.jpg,True,1051,//images.igdb.com/igdb/image/upload/t_thumb/co25jx.jpg,Mirror's Edge,4.0
61,1052.jpg,False,1052,//images.igdb.com/igdb/image/upload/t_thumb/co20p9.jpg,The Lord of the Rings: War in the North,5.0
62,1058.jpg,False,1058,//images.igdb.com/igdb/image/upload/t_thumb/co1pnj.jpg,LittleBigPlanet,2.0
